Credit Union Name,TOTAL ASSETS,TOTAL AMOUNT OF SHARES AND DEPOSITS,NUMBER OF MEMBERS,Money Market (Amount),Number of Used Vehicle Loans,Amount of Total Share Draft,Deliquent Credit card loans (Amount) 0-180,Total number of loans and leases,Total amount of loans and leases,TOTAL AMOUNT OF SHARES,Amount of new vehicle loans,Total Number of money market shares,TOTAL OTHER LOANS,Amount of Used Vehicle Loans,Number of Total Share Draft,Number of new Vehicle loans,Deliquent Credit card loans (Amount) 180+,Year,Quarter
Credit Union One,612895008,552871772,54443,191208772,7110,143595095,213481,25240,471630963,537445025,50402878,6324,0,80655990,38261,2985,787,2016,4
State Credit Union average,378830016.7,332860828.2,30520,104214473.2,5015.108696,49223122.85,164612.6739,18885.6087,265660801.5,309383212.7,52685918.72,3225.847826,0,53772471.26,19624.78261,2882.695652,6200.26087,2016,4
Peer Credit Union average,1464008779,1225668038,110962.3323,311042348.7,15766.05939,164477930.8,1340658.072,65958.08989,1018776164,1075750328,138682055,8493.719101,0,197222329.5,59034.57143,6819.869984,44153.95827,2016,4
Credit Union One,467128171,431744879,45654,162143454,4696,92531534,202875,19227,284411226,406537945,41743330,6967,0,49283530,31178,2656,11530,2013,3
State Credit Union average,265436039.6,236869185.7,23341.14286,72824884.26,3459,29716954.12,95088,13009.07143,163777994,211537657.4,25318796.62,2628,0,33069304.62,14693.16667,1634.357143,7925.285714,2013,3
Peer Credit Union average,1149682121,977417926.2,93560.25503,254902635.5,11531.64094,123422984.4,858943.4748,51255.23993,702916833.6,854367350.9,71984414.79,8870.629195,0,125451932,53962.98993,4122.100671,34777.35906,2013,3
Credit Union One,1292502976,1138250277,76446,378217661,10160,391944386,248490,37283,1022864324,1130158671,126805834,7802,0,162204333,59169,5098,8965,2023,2
State Credit Union average,586285850.3,506862243.4,35866.27907,112700663.7,6616.55814,130425835.8,162596.6512,20885.18605,409757864.6,478378779.7,68938434.49,2850.186047,0,91740642.49,22654.46512,2941.093023,7387.069767,2023,2
Peer Credit Union average,2656828143,2234249556,157783.6743,442707960.8,22845.03226,453376342.6,2162236.86,92950,1908179062,2010489275,203017603.3,11814.95392,0,364871812.5,100733.8894,8481.632873,56372.08756,2023,2
Credit Union One,498365147,454454187,48393,168550674,5380,102526434,251523,20733,334760510,429127162,42472522,6713,0,56135652,33517,2632,0,2014,3
State Credit Union average,279307725.6,247373712.3,24541.97917,80948155.96,4008.083333,33192543.35,112914.2708,14577.14583,185678373.5,229429321.5,31437564.25,2915.875,0,38622891.58,15391.79167,1805.291667,8853.8125,2014,3
Peer Credit Union average,1212569139,1018825926,98343.85948,259773276.9,12726.23203,133116006.3,913350.1846,55813.65359,788612753.6,891747551.3,93301267.47,8270.151961,0,146515115.6,56911.56046,4952.946078,30091.05065,2014,3
Credit Union One,744393804,662267972,64170,199848296,9462,200605265,424059,31957,611690300,650737805,68862836,5985,0,122981918,44064,3644,6482,2018,4
State Credit Union average,447700106.2,385387414.5,35759.5,116249154,5909.454545,64510293.59,231968.5227,22295.70455,334818493.6,362757442.3,68731097.11,3619.613636,0,64228254.86,23624,3644.886364,8891.75,2018,4
Peer Credit Union average,1545734423,1305541036,113928.0457,308389613,17807.23937,194548869.1,1085623.918,68266.02677,1131951088,1141442483,164861905.9,8572.206299,0,232868162.2,68076.31024,7868.411024,58632.54488,2018,4
Credit Union One,1299594672,1161050891,74436,197350798,10041,497690719,599352,34353,920213705,1144418312,113020040,5019,0,155623201,57894,4653,0,2022,3
State Credit Union average,515357337,451874550.8,31384.45833,113820408.9,6032.25,129856699.1,146124.125,18648.45833,349422706.8,433045152.1,57755611.04,2474.791667,0,83017614.75,19997.95833,2502.458333,9881.1875,2022,3
Peer Credit Union average,2605910478,2239847168,156506.1246,539014541.2,22796.26308,472985244.9,1677672.837,91056.66462,1816739519,2044597620,203146025.9,11753.99385,0,360522919.9,99749.57385,8669.984615,40925.63231,2022,3
Credit Union One,498469240,453556342,48834,168519507,5524,102676071,186626,21472,343830410,429447091,42811993,6670,0,57240627,33866,2641,805,2014,4
State Credit Union average,312985596.2,276983104.8,27776.45833,93682853.38,4548.479167,37740940.38,132071.4583,16805.33333,210821439.6,257674945.9,38576547.52,3052.520833,0,43533296.25,17601.14583,2144.229167,6341.208333,2014,4
Peer Credit Union average,1213406890,1022582462,98448.85597,267697901.9,13129.0491,139968804.1,982456.9624,56367.91817,791574530.9,900105510.5,97676014.64,8284.623568,0,150597862.5,58142.12766,5163.949264,29031.21113,2014,4
Credit Union One,1204464226,1078366166,72298,186765736,10353,448429997,230259,32333,748936497,1064192701,92368260,5240,0,152825996,56438,4117,0,2021,3
State Credit Union average,600295071.2,531290038.2,35808.5,138635658.8,5327.021739,159956956.1,148265.3261,20280.04348,327935627,511131102.2,54743079.65,3587.608696,0,63440129.24,25248.67391,2911.804348,4184.456522,2021,3
Peer Credit Union average,2378767694,2053132770,144703.5286,497332630.2,20254.34312,419660536.7,1266486.541,80892.38176,1476507190,1899100132,167712353.5,11060.26584,0,293909377.8,91750.69706,7990.871716,27617.84699,2021,3
Credit Union One,794581970,702944540,65798,183809243,9671,249653605,337901,32383,631120857,691994818,65010520,5829,0,125404187,45801,3489,14352,2019,2
State Credit Union average,437434682,373795276,34144.1875,109073593.6,5516.229167,64946360.58,216514.6875,21140.39583,316253743.7,345406303.5,64406244.6,3451.770833,0,59625258.96,22706.64583,3560.458333,10379.22917,2019,2
Peer Credit Union average,1762835042,1472555786,127008.8916,327307407.6,18217.6521,203251430.5,1725158.985,75755.01942,1263296416,1274675480,171091134.4,9044.639159,0,239983668.7,67395.4466,8225.71521,53670.66828,2019,2
Credit Union One,551478034,499019594,51051,177102063,6141,121640632,232728,22867,388557309,480488598,43091122,6448,0,64183896,35871,2670,904,2015,4
State Credit Union average,294016922.1,260810523.6,25851.95745,80789165.11,4199.617021,38691385.64,134977.7021,15394.08511,199145058.2,243844540.4,37940187.49,2883.12766,0,40718953.83,16369.34043,2158.893617,5684.659574,2015,4
Peer Credit Union average,1373605543,1145981586,106876.1685,289640594.7,14673.86998,165466589.6,1137195.451,63354.30016,932960328.8,1008139312,118976890,8619.083467,0,175650205.6,63351.09791,6059.537721,36148.79775,2015,4
Credit Union One,762955006,686228069,62170,202300216,8925,207550406,289250,30287,580857956,672730878,67645112,6069,0,113379392,42926,3620,2329,2018,2
State Credit Union average,449120970.7,388938809.8,35035.61702,115790423.4,5748.06383,69607087.23,212921.1489,21865.3617,323520473.1,366804860.7,67493913.53,3458.87234,0,61720620.55,23068.53191,3574.170213,5261.957447,2018,2
Peer Credit Union average,1575592310,1316655133,118273.5071,302211968.4,17325.15214,187696562,1478373.575,70574.29952,1138231012,1156712355,159520107.3,8383.568938,0,226267554.6,62792.66403,7616.500792,56591.76228,2018,2
Credit Union One,971924659,867670820,68603,170340299,10564,357194019,96304,32924,730659161,858429813,84440689,5487,0,142960973,48900,4022,6695,2020,2
State Credit Union average,540735297.8,463109244.3,36286.88,121269937.1,5398.66,84803083.88,144135.64,21103.36,340885943.7,433151168.5,62884748.56,3586.74,0,62394033.24,24453.1,3429.18,10799.72,2020,2
Peer Credit Union average,1967025583,1672561907,128260.8901,371409624.7,18610.59184,286112525.3,1105202.336,73151.89796,1304580634,1492570796,160067123.3,9345.855573,0,251794006.3,80787.48038,7690.315542,43668.28257,2020,2
Credit Union One,1043421646,931663285,69875,175553904,10394,385791882,219392,32935,729462679,918292545,90696281,5375,0,141368440,50442,4145,1254,2020,4
State Credit Union average,586671559,511964103.6,37173.48,133478159.3,5432.5,131304929.9,161201.66,21292.66,345499836.4,486054878.5,63505439.4,3591.68,0,64685657,25300.76,3345.72,6332.16,2020,4
Peer Credit Union average,1949097165,1678874272,122788.4172,392191484.6,18604.06406,299054527.4,804799.9234,70175.38594,1259125690,1526750589,153982904.9,9391.542188,0,253371721.2,74850.66563,7636.073438,51294.60781,2020,4
Credit Union One,863118783,755705868,68471,162293689,10610,294574584,331456,33515,695877560,747092408,80692363,5516,0,142124374,48977,3938,52812,2020,1
